Day,Period,Class,Subject,Absent_Faculty,Substitute_Faculty,Was_Free_That_Period,Substitution_Success
Thursday,3,CSE-D,Python Programming,Dr. Rohit Batra,None,0,0
Friday,4,CSE-DS,Compiler Design,Dr. Yash Iyer,None,0,0
Monday,3,CSE-IOT,Blockchain,Dr. Kritika Iyer,None,0,0
Monday,7,CSE-IOT,Web Development,Dr. Rohit Mehta,Dr. Isha Verma,1,1
Tuesday,7,CSE-CS,Cybersecurity,Dr. Pooja Mehta,None,0,0
Thursday,8,CSE-F,Digital Logic,Dr. Ruchi Mehta,Dr. Mehul Sinha,1,1
Monday,4,CSE-AIML,Cybersecurity,Dr. Rina Sharma,Dr. Pooja Mehta,1,1
Thursday,2,CSE-B,Computer Networks,Dr. Divya Joshi,Dr. Mehul Mehta,1,1
Wednesday,1,CSE-CS,OS Lab,Dr. Payal Kapoor,None,0,0
Friday,5,CSE-DS,Communication Skills,Dr. Anjali Kapoor,Dr. Shruti Sinha,1,1
Thursday,8,CSE-D,Computer Networks,Dr. Divya Joshi,None,0,0
Wednesday,3,CSE-B,DBMS,Dr. Uday Iyer,Dr. Deepak Kapoor,1,1
Monday,4,CSE-A,AR/VR,Dr. Mehul Joshi,None,0,0
Friday,3,CSE-D,Operating Systems,Dr. Varun Kapoor,Dr. Sneha Sharma,1,1
Monday,3,CSE-F,CN Lab,Dr. Anjali Tiwari,None,0,0
Tuesday,3,CSE-C,AI,Dr. Isha Iyer,Dr. Ayesha Sinha,1,1
Wednesday,2,CSE-B,Web Development,Dr. Rohit Mehta,None,0,0
Wednesday,5,CSE-AIML,Ethics in AI,Dr. Vikas Verma,Dr. Preeti Batra,1,1
Friday,3,CSE-A,Cybersecurity,Dr. Rina Sharma,Dr. Pooja Mehta,1,1
Thursday,3,CSE-C,Digital Logic,Dr. Ruchi Mehta,Dr. Mehul Sinha,1,1
Thursday,8,CSE-A,Computer Networks,Dr. Mehul Mehta,Dr. Divya Joshi,1,1
Monday,7,CSE-DS,Computer Networks,Dr. Divya Joshi,None,0,0
Monday,4,CSE-C,Python Programming,Dr. Garima Rao,Dr. Yash Batra,1,1
Tuesday,2,CSE-CS,Computer Graphics,Dr. Divya Iyer,None,0,0
Monday,2,CSE-E,Cybersecurity,Dr. Priya Iyer,Dr. Rina Sharma,1,1
Tuesday,7,CSE-B,Operating Systems,Dr. Sameer Kapoor,Dr. Sneha Sharma,1,1
Wednesday,2,CSE-C,Operating Systems,Dr. Sameer Kapoor,None,0,0
Thursday,5,CSE-CS,Operating Systems,Dr. Sameer Kapoor,None,0,0
Tuesday,7,CSE-IOT,Cybersecurity,Dr. Priya Iyer,Dr. Rina Sharma,1,1
Friday,3,CSE-DS,NLP,Dr. Rina Joshi,Dr. Tanya Iyer,1,1
Monday,4,CSE-IOT,Communication Skills,Dr. Shruti Sinha,None,0,0
Monday,1,CSE-E,Communication Skills,Dr. Shruti Sinha,Dr. Anjali Kapoor,1,1
Wednesday,6,CSE-E,Ethics in AI,Dr. Ayesha Tiwari,Dr. Preeti Batra,1,1
Thursday,4,CSE-AIML,NLP,Dr. Rina Joshi,None,0,0
Monday,1,CSE-F,AI,Dr. Ayesha Sinha,Dr. Isha Iyer,1,1
Wednesday,8,CSE-E,Compiler Design,Dr. Sanjay Kapoor,Dr. Harsh Joshi,1,1
Thursday,5,CSE-DS,DBMS,Dr. Uday Iyer,Dr. Deepak Kapoor,1,1
Monday,1,CSE-AIML,Data Structures,Dr. Jyoti Mehta,Dr. Sameer Batra,1,1
Monday,5,CSE-AIML,OOPs,Dr. Alok Iyer,Dr. Pallavi Sharma,1,1
Friday,5,CSE-A,Digital Logic,Dr. Rohit Kapoor,Dr. Mehul Sinha,1,1
Tuesday,6,CSE-F,Blockchain,Dr. Kritika Iyer,None,0,0
Wednesday,5,CSE-DS,Compiler Design,Dr. Sanjay Kapoor,Dr. Yash Iyer,1,1
Tuesday,2,CSE-CS,Computer Graphics,Dr. Mehul Verma,Dr. Divya Iyer,1,1
Tuesday,2,CSE-A,Web Development,Dr. Isha Verma,None,0,0
Tuesday,1,CSE-IOT,OOPs,Dr. Alok Iyer,Dr. Pallavi Sharma,1,1
Friday,6,CSE-AIML,OOPs,Dr. Pallavi Sharma,None,0,0
Tuesday,2,CSE-A,OOPs,Dr. Pallavi Sharma,None,0,0
Monday,8,CSE-F,Operating Systems,Dr. Sameer Kapoor,None,0,0
Friday,7,CSE-D,DBMS,Dr. Uday Iyer,None,0,0
Friday,8,CSE-A,Digital Logic,Dr. Rohit Kapoor,Dr. Ruchi Mehta,1,1
Thursday,7,CSE-D,OS Lab,Dr. Payal Kapoor,Dr. Tina Mehta,1,1
Wednesday,4,CSE-C,Cybersecurity,Dr. Pooja Mehta,Dr. Priya Iyer,1,1
Monday,4,CSE-F,Computer Graphics,Dr. Mehul Verma,None,0,0
Tuesday,2,CSE-D,NLP,Dr. Tanya Iyer,Dr. Rina Joshi,1,1
Tuesday,1,CSE-E,Java Programming,Dr. Sameer Sinha,None,0,0
Friday,6,CSE-CS,Digital Logic,Dr. Rohit Kapoor,None,0,0
Tuesday,2,CSE-CS,Data Structures,Dr. Simran Rao,None,0,0
Wednesday,2,CSE-IOT,OOPs,Dr. Alok Iyer,None,0,0
Tuesday,7,CSE-D,Python Programming,Dr. Garima Rao,Dr. Yash Batra,1,1
Monday,6,CSE-CS,OS Lab,Dr. Tina Mehta,None,0,0
Monday,7,CSE-D,OS Lab,Dr. Tina Mehta,None,0,0
Thursday,4,CSE-E,Computer Networks,Dr. Mehul Mehta,None,0,0
Wednesday,1,CSE-C,Web Development,Dr. Isha Verma,None,0,0
Friday,7,CSE-F,Computer Networks,Dr. Divya Joshi,Dr. Mehul Mehta,1,1
Tuesday,8,CSE-A,Java Programming,Dr. Sameer Sinha,Dr. Rajat Verma,1,1
Friday,8,CSE-B,Machine Learning,Dr. Amit Sinha,Dr. Komal Batra,1,1
Wednesday,6,CSE-A,Project Lab,Dr. Kunal Batra,Dr. Mohit Joshi,1,1
Tuesday,3,CSE-A,Communication Skills,Dr. Shruti Sinha,None,0,0
Tuesday,6,CSE-A,Operating Systems,Dr. Sameer Kapoor,None,0,0
Tuesday,6,CSE-C,Project Lab,Dr. Mohit Joshi,Dr. Kunal Batra,1,1
Thursday,3,CSE-AIML,Data Structures,Dr. Sameer Batra,None,0,0
Monday,6,CSE-IOT,Computer Networks,Dr. Divya Joshi,None,0,0
Monday,1,CSE-F,Data Structures,Dr. Jyoti Mehta,None,0,0
Thursday,1,CSE-E,Machine Learning,Dr. Komal Batra,Dr. Amit Sinha,1,1
Thursday,4,CSE-AIML,Software Engineering,Dr. Abhay Iyer,Dr. Abhay Kapoor,1,1
Tuesday,7,CSE-CS,OOPs,Dr. Pallavi Sharma,None,0,0
Wednesday,4,CSE-C,Python Programming,Dr. Rohit Batra,Dr. Yash Batra,1,1
Monday,8,CSE-DS,Computer Graphics,Dr. Preeti Sinha,None,0,0
Thursday,5,CSE-CS,Communication Skills,Dr. Vikas Sharma,Dr. Anjali Kapoor,1,1
Monday,7,CSE-C,Java Programming,Dr. Sameer Sinha,None,0,0
Thursday,1,CSE-D,DBMS,Dr. Deepak Kapoor,Dr. Uday Iyer,1,1
Thursday,6,CSE-E,Software Engineering,Dr. Abhay Iyer,None,0,0
Monday,8,CSE-D,OS Lab,Dr. Tina Mehta,None,0,0
Monday,8,CSE-C,OOPs,Dr. Alok Iyer,Dr. Pallavi Sharma,1,1
Tuesday,8,CSE-E,Blockchain,Dr. Mohit Mehta,Dr. Kritika Iyer,1,1
Wednesday,7,CSE-DS,Computer Graphics,Dr. Mehul Verma,Dr. Preeti Sinha,1,1
Friday,4,CSE-E,Compiler Design,Dr. Sanjay Kapoor,None,0,0
Wednesday,5,CSE-CS,DBMS,Dr. Uday Iyer,Dr. Deepak Kapoor,1,1
Tuesday,2,CSE-IOT,Cloud Computing,Dr. Rohit Joshi,None,0,0
Thursday,4,CSE-CS,OS Lab,Dr. Payal Kapoor,Dr. Tina Mehta,1,1
Wednesday,4,CSE-A,OS Lab,Dr. Payal Kapoor,Dr. Tina Mehta,1,1
Thursday,4,CSE-C,Computer Graphics,Dr. Divya Iyer,Dr. Mehul Verma,1,1
Friday,8,CSE-DS,Web Development,Dr. Rohit Mehta,Dr. Isha Verma,1,1
Friday,6,CSE-C,Cloud Computing,Dr. Rohit Joshi,Dr. Mohit Tiwari,1,1
Tuesday,8,CSE-E,Digital Logic,Dr. Ruchi Mehta,None,0,0
Wednesday,6,CSE-CS,Computer Graphics,Dr. Divya Iyer,None,0,0
Monday,7,CSE-E,Data Structures,Dr. Sameer Batra,None,0,0
Friday,3,CSE-B,Ethics in AI,Dr. Preeti Batra,None,0,0
Wednesday,8,CSE-D,Cybersecurity,Dr. Rina Sharma,Dr. Priya Iyer,1,1
Friday,1,CSE-AIML,Digital Logic,Dr. Ruchi Mehta,None,0,0
Friday,3,CSE-AIML,OS Lab,Dr. Tina Mehta,None,0,0
Wednesday,6,CSE-DS,NLP,Dr. Tanya Iyer,Dr. Rina Joshi,1,1
Friday,6,CSE-A,Cloud Computing,Dr. Mohit Tiwari,None,0,0
Wednesday,8,CSE-F,DBMS Lab,Dr. Tanvi Verma,Dr. Rajat Batra,1,1
Thursday,2,CSE-F,Software Engineering,Dr. Abhay Iyer,None,0,0
Friday,3,CSE-C,NLP,Dr. Rina Joshi,Dr. Tanya Iyer,1,1
Monday,3,CSE-E,CN Lab,Dr. Anjali Tiwari,Dr. Mehul Tiwari,1,1
Tuesday,5,CSE-A,Compiler Design,Dr. Yash Iyer,None,0,0
Tuesday,4,CSE-D,Digital Logic,Dr. Rohit Kapoor,Dr. Mehul Sinha,1,1
Tuesday,7,CSE-AIML,Communication Skills,Dr. Vikas Sharma,Dr. Shruti Sinha,1,1
