Day,Period,Class,Subject,Absent_Faculty,Substitute_Faculty,Was_Free_That_Period,Substitution_Success
Tuesday,5,12B,Physics,Mr. Roy,Ms. Dutta,0,1
Thursday,7,12B,History,Ms. Dutta,Mr. Ghosh,0,0
Wednesday,4,11B,Chemistry,Mr. Ghosh,Ms. Banerjee,0,0
Friday,1,12B,Biology,Mr. Roy,Mr. Ghosh,0,1
Wednesday,6,12B,Chemistry,Mr. Ghosh,Ms. Dutta,1,1
Monday,8,11B,English,Ms. Dutta,Mr. Ghosh,1,1
Friday,8,12B,History,Mr. Ghosh,Mr. Roy,0,0
Tuesday,2,10B,Math,Ms. Banerjee,Mr. Roy,0,0
Wednesday,1,10A,Chemistry,Mr. Roy,Mr. Das,0,1
Thursday,6,10B,Math,Mr. Roy,Ms. Dutta,0,0
Friday,7,12B,English,Ms. Dutta,Ms. Banerjee,1,1
Wednesday,3,10A,Physics,Ms. Sinha,Mr. Roy,0,0
Thursday,7,12A,Physics,Ms. Banerjee,Mr. Roy,1,1
Tuesday,2,10B,Biology,Mr. Ghosh,Ms. Sinha,1,1
Thursday,2,12B,Physics,Mr. Roy,Mr. Das,1,1
Tuesday,7,10B,English,Ms. Sinha,Mr. Das,1,1
Tuesday,6,11B,English,Mr. Ghosh,Ms. Dutta,0,1
Thursday,3,12A,History,Mr. Ghosh,Mr. Das,0,0
Thursday,4,11A,History,Mr. Roy,Ms. Dutta,1,1
Friday,8,12A,Biology,Mr. Ghosh,Ms. Dutta,0,0
Thursday,3,10A,History,Mr. Das,Ms. Banerjee,1,1
Thursday,2,12B,Chemistry,Ms. Dutta,Mr. Das,1,1
Thursday,5,10A,Chemistry,Ms. Banerjee,Ms. Dutta,0,1
Monday,8,11B,Chemistry,Ms. Banerjee,Mr. Roy,1,1
Monday,7,10A,Biology,Ms. Dutta,Ms. Banerjee,0,0
Friday,4,10A,Physics,Ms. Banerjee,Ms. Dutta,1,0
Monday,2,12A,History,Ms. Dutta,Ms. Banerjee,0,0
Tuesday,7,12B,Chemistry,Mr. Roy,Ms. Banerjee,0,0
Monday,4,11B,Chemistry,Ms. Dutta,Mr. Das,0,0
Friday,8,11A,Physics,Ms. Dutta,Ms. Sinha,0,1
Thursday,8,11A,Math,Mr. Das,Mr. Roy,1,1
Monday,8,12A,Chemistry,Ms. Sinha,Ms. Banerjee,0,1
Thursday,2,12B,History,Mr. Das,Ms. Dutta,1,1
Thursday,3,11B,Physics,Ms. Sinha,Mr. Das,1,1
Wednesday,8,11A,History,Mr. Roy,Ms. Sinha,0,1
Monday,1,11A,Chemistry,Mr. Ghosh,Mr. Roy,0,0
Tuesday,8,10B,Chemistry,Ms. Dutta,Mr. Roy,1,1
Monday,7,10B,History,Mr. Roy,Mr. Ghosh,1,1
Thursday,8,11B,Chemistry,Mr. Roy,Ms. Dutta,0,0
Monday,6,11B,Physics,Mr. Das,Ms. Dutta,1,0
Monday,1,12A,History,Mr. Ghosh,Ms. Dutta,0,0
Wednesday,5,10B,Physics,Ms. Banerjee,Mr. Ghosh,0,0
Monday,1,10B,Math,Ms. Sinha,Mr. Ghosh,1,0
Wednesday,1,11B,History,Mr. Ghosh,Ms. Sinha,1,1
Tuesday,8,11A,Physics,Ms. Banerjee,Mr. Roy,1,1
Thursday,6,10A,History,Mr. Roy,Mr. Ghosh,0,0
